Area TotalA TotalB Unclassified Pu Mu Invalid Pc Mc
전라남도-나주시 57054 57053 2722 258 2027 416 4984 51150 
전라남도-광양시 88095 88097 4699 645 3692 365 12918 74477 
전라남도-담양군 31747 31746 2214 239 1696 244 3084 28099 
전라남도-장성군 29595 29591 1686 187 1247 217 3532 25567 
전라남도-곡성군 20504 20504 1358 168 956 203 2255 17810 
전라남도-구례군 17834 17833 1166 167 837 145 2230 15328 
전라남도-고흥군 47364 47363 3465 385 2510 516 5193 41139 
전라남도-보성군 30151 30149 2504 298 1859 302 3470 26054 
전라남도-화순군 42355 42352 2257 184 1530 498 3685 37696 
전라남도-장흥군 26820 26817 1961 220 1454 245 2808 23468 
전라남도-강진군 24781 24779 1923 243 1430 231 3025 21316 
전라남도-완도군 34118 34116 1543 163 1130 372 3152 30236 
전라남도-해남군 47639 47639 3511 339 2682 540 4747 41882 
전라남도-진도군 20598 20598 1482 145 1083 211 2073 18052 
전라남도-영암군 36083 36081 2376 279 1823 294 3965 31577 
전라남도-무안군 46784 46788 3985 379 3332 319 4230 41849 
전라남도-영광군 35295 35294 2704 350 2013 228 3768 30835 
전라남도-함평군 23430 23428 2040 160 1628 213 1956 20984 
전라남도-신안군 26964 26961 1909 236 1275 295 2970 23357 
경상북도-포항시북구 166173 166166 4468 3450 523 568 130547 33470 
경상북도-포항시남구 155156 155131 5418 4242 656 531 121186 32833 
경상북도-울릉군 32134 32134 2661 2023 215 432 26663 4564
경상북도-경주시 168546 168542 7959 6204 982 783 132579 34357 
경상북도-김천시 88163 88157 4763 3793 458 504 73025 14077  
경상북도-안동시 107235 107233 4725 3690 499 642 85599 21028 
경상북도-구미시 245849 245844 10061 8060 1319 584 198062 47485 
경상북도-영주시 72618 72614 3307 2556 397 339 55360 15393 
경상북도-영천시 56856 56850 3149 2390 356 414 46242 9862 
경상북도-상주시 69900 69898 5005 4057 387 473 58060 10154 
경상북도-문경시 50068 50066 2661 2173 224 349 41763 7609 
경상북도-예천군 32134 32134 2661 2023 215 432 26663 4564 
경상북도-경산시 151432 151392 6178 4493 773 799 118665 30799 
경상북도-청도군 30954 30946 2255 1780 237 250 25625 4850 
경상북도-고령군 23847 23847 1571 1253 147 164 20030 3437 
경상북도-성주군 31021 31019 3052 2540 292 193 26511 4077 
경상북도-칠곡군 71571 71571 2173 1705 222 257 57485 13560 
경상북도-군위군 17849 17848 1275 1041 93 127 15457 2126 
경상북도-의성군 40089 40089 2465 1954 183 262 34294 5167 
경상북도-청송군 18310 18310 1487 1191 156 121 15054 2946 
경상북도-영양군 12321 12321 650 466 67 110 9818 2247 
경상북도-영덕군 27535 27535 2138 1781 168 196 23816 3314 
경상북도-봉화군 23009 23006 1444 1036 145 213 18408 3989 
경상북도-울진군 33222 33221 2991 2416 313 236 26387 6341 
경상남도-창원시의창구 155317 155306 3927 2293 909 754 93834 60126 
경상남도-창원시성산구 150916 150912 3436 1905 1062 518 82487 67332
경상남도-창원시마산합포구 118838 118829 4793 3460 720 628 82970 34690 
경상남도-창원시마산회원구 138404 138388 3800 2519 647 631 91864 45353 
경상남도-창원시진해구 106837 106832 5749 3883 1307 494 68466 37511 
경상남도-진주시 208913 208887 7109 4612 1078 1395 140404 66038 
경상남도-통영시 82124 82118 4021 2705 730 580 56873 24216 
경상남도-고성군 35556 35555 2560 1722 343 439 25076 9673 
경상남도-사천시 70373 70371 3427 2267 480 672 48033 21237 
경상남도-김해시 290650 290612 8879 4796 2575 1372 150925 137369 
경상남도-밀양시 69427 69417 4076 2733 662 664 47709 20591 
경상남도-거제시 130165 130166 3860 2230 816 810 71757 57003 
경상남도-의령군 19433 19431 1644 1031 182 376 13848 4904 
경상남도-함안군 42213 42208 2313 1464 397 401 28681 12748 
경상남도-창녕군 40696 40692 2809 1913 358 492 29793 10046 
경상남도-양산시 158896 158887 8299 4926 2684 732 93167 64467 
경상남도-하동군 34058 34056 2606 1531 492 591 21848 11193 
경상남도-남해군 32092 32090 2069 1242 331 454 21551 9756 
경상남도-함양군 26501 26500 1307 785 155 375 18736 7014 
경상남도-산청군 23739 23738 2147 1358 322 402 16979 5996 
경상남도-거창군 40104 40103 1440 886 149 509 28726 10466
경상남도-합천군 33586 33586 2841 1835 318 623 25313 7114 
제주특별자치도-제주시 241566 241552 9340 4942 3160 1066 119563 119522 
제주특별자치도-서귀포시 89417 89415 3612 1883 1166 566 46621 41613 
